company_name,address,city,state,zip,phone,website,domain,description,employees_wa,revenue_2025,year_founded,exec1_first,exec1_last,exec1_title,exec2_first,exec2_last,exec2_title,footnotes,source,source_date,ownership_type
Nordstrom Inc.,1617 Sixth Ave.,Seattle,Washington,98101,206-628-2111,nordstrom.com,nordstrom.com,Fashion retailer,7000,15800000000,1901,Erik,Nordstrom,Co-CEO,Pete,Nordstrom,Co-CEO,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Saltchuk Resources,450 Alaskan Way S.,Seattle,Washington,98104,206-652-1111,saltchuk.com,saltchuk.com,Transportation and distribution company,1150,5600000000,1982,Mark,Tabbutt,Chairman,Jerry,Richards,CFO,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Zones LLC,1102 15th St. SW,Auburn,Washington,98001,253-205-3000,zones.com,zones.com,Information technology solutions provider,800,2400000000,1986,Firoz,Lalji,Chairman and Co-founder,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Harbor Foods,3901 Hogum Bay Road NE,Lacey,Washington,98516,800-624-3614,harborfoods.com,harborfoods.com,Wholesale food distributor,642,1571879900,1923,Justin,Erickson,Owner and CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Denali Advanced Integration,17735 NE 65th St.,Redmond,Washington,98052,425-885-4000,denaliai.com,denaliai.com,Enterprise IT solutions and services provider,592,1100000000,1992,Alex (Mohamad),Daher,Chairman and Co-founder,Erez,Yarkoni,President,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Keller Supply Co.,3209 17th Ave. W.,Seattle,Washington,98119,206-285-3300,kellersupply.com,kellersupply.com,"Plumbing, heating, piping, fire protection and pool supplies distributor",,720000000,1945,Nick,Keller,Executive Chairman,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Titus-Will Automotive Group,3606 S. Sprague Ave.,Tacoma,Washington,98409,253-475-4151,tituswillcars.com,tituswillcars.com,Automotive dealerships,550,563000000,1938,James M.,Will,CEO,,,,"Business name: As a motor vehicle dealership, the company revenue is the same as the pass-through value of the vehicle assets it holds and then sells.",PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Bensussen Deutsch & Associates (BDA Inc.),15525 Woodinville-Redmond Road NE,Woodinville,Washington,98072,800-451-4764,bdainc.com,bdainc.com,Merchandise agency creating branding solutions,298,551774000,1984,Jay,Deutsch,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Merrill Gardens,1938 Fairview Ave. E.,Seattle,Washington,98102,206-676-5300,merrillgardens.com,merrillgardens.com,Independent and assisted living and memory care service provider,700,525140614,1993,Cole,Wright,Chairman,Tana,Gall,President,Business name: Owned by R.D. Merrill Co.,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Columbia Hospitality,2200 Alaskan Way,Seattle,Washington,98121,206-239-1800,columbiahospitality.com,columbiahospitality.com,Hospitality management and consulting company,3026,500000000,1995,John,Oppenheimer,Founder,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
VECA Electric & Technologies LLC,5614 Seventh Ave. S.,Seattle,Washington,98108,206-436-5200,veca.com,veca.com,Electrical construction contractor,1328,480000000,1946,Dave,Reed,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Bargreen Ellingson,6626 Tacoma Mall Blvd.,Tacoma,Washington,98409,866-722-2665,bargreen.com,bargreen.com,"Restaurant supply, design and fabrication company",350,414000000,1960,David,Ellingson,CEO and President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Aegis Living,415 118th Ave. SE,Bellevue,Washington,98005,425-861-9993,aegisliving.com,aegisliving.com,"Assisted living, senior housing services provider",1838,390000000,1997,Dwayne,Clark,"Founder, CEO and Chairman",,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
MN Custom Homes,3009 112th Ave. NE,Bellevue,Washington,98004,425-754-2565,mncustom.com,mncustom.com,Luxury residential home builder,158,371000000,2011,Shaun,McFadden,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Cochran Inc.,12500 Aurora Ave. N.,Seattle,Washington,98133,206-367-1900,cochraninc.com,cochraninc.com,Electrical services and technologies contractor,538,295160089,1954,Bill,Doran,President,LeeAnn,Cochran,CEO,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Alliance Packaging LLC/SP Holdings Inc.,1000 SW 43rd St.,Renton,Washington,98057,425-291-3500,alliancepackaging.net,alliancepackaging.net,Corrugated packaging manufacturer and distributor,454,286900000,1967,Scott,Younger,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Bayley Construction,8005 SE 28th St.,Mercer Island,Washington,98040,206-621-8884,bayley.net,bayley.net,General building contractor and construction manager,58,250000000,1963,Steve,Grasso,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Electroimpact Inc.,4413 Chennault Beach Rd.,Mukilteo,Washington,98275,425-348-8090,electroimpact.com,electroimpact.com,Aircraft manufacturing solutions company,386,244000000,1986,Peter,Zieve,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Puget Sound Pipe & Supply,7816 S. 202nd St.,Kent,Washington,98032,253-796-9350,pspipe.com,pspipe.com,"Distributor of industrial pipe, valved, fittings and accessories",163,209317000,1917,G. Koltin,Stratiner,President,Matthew,Stratiner,CEO,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
John Korsmo Construction LLC dba Korsmo Construction,1940 E. D St.,Tacoma,Washington,98421,253-582-6712,korsmo.com,korsmo.com,Commercial construction firm,150,190000000,1948,John,Korsmo Jr.,Owner,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Frontier Door and Cabinet,11721 Steele St. S.,Tacoma,Washington,98444,206-768-2524,frontierdoor.com,frontierdoor.com,Building products manufacturer,475,163000000,1998,Gabe,Kettler,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Holman Logistics,32001 32nd Ave. S.,Federal Way,Washington,98001,253-872-7140,holmanusa.com,holmanusa.com,Supply chain and logistics company,279,163000000,1864,Brien,Downie,CEO,Mike,Gardner,President and COO,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Peoples Bank,3100 Woburn St.,Bellingham,Washington,98226,800-584-8859,peoplesbank-wa.com,peoplesbank-wa.com,Commercial bank,413,138718766,1921,Charles,LeCocq,Chairman and CEO,Lisa,Hefter,President and COO,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Kelley Create,22710 72nd Ave. S.,Kent,Washington,98032,206-284-9100,kelleycreate.com,kelleycreate.com,Office technology solutions provider,153,129036514,1974,Aric,Manion,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Seattle Hospitality Group,1109 First Ave.,Seattle,Washington,98101,206-674-3021,shgllc.com,shgllc.com,"Hospitality, tourism and transportation company",862,127323248,2002,Howard,Wright,Chairman and Founder,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Schwartz Brothers Restaurants,10500 NE Eighth St.,Bellevue,Washington,98004,425-455-3948,schwartzbros.com,schwartzbros.com,Restaurant and bakery company,549,127000000,1970,Danny,Schwartz,President and CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Acme Food Sales Inc.,5601 Sixth Ave. S.,Seattle,Washington,98108,206-762-5150,acmefood.com,acmefood.com,Food importer and distributor,25,123526676,1963,Robert,Polik,President and CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Pacific Crest Industries Inc. dba Bellmont Cabinet Co.,13610 52nd St. E.,Sumner,Washington,98390,253-321-3011,bellmontcabinets.com,bellmontcabinets.com,Cabinet manufacturer and retailer,380,111000000,1988,Casey,Bell,CEO Operations,Tyler,Bell,CEO Sales and Marketing,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Auburn Mechanical Inc.,2623 W. Valley Highway N.,Auburn,Washington,98001,253-838-9780,auburnmechanical.com,auburnmechanical.com,"Mechanical contractor focused on mechanical design, HVAC, plumbing, fitting and refrigeration",217,86000000,1975,Stacy,Johnson,President and Co-owner,Kim,Johnson,Co-owner,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
ACG Builds Inc.,1001 SW Klickitat Way,Seattle,Washington,98134,206-329-2878,acgbuilds.com,acgbuilds.com,Construction company in multifamily and mixed-use space,25,84501860,2003,D. Chad,Quilici,Principal,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
MTT Homes,11235 SE Sixth St.,Bellevue,Washington,98004,206-466-0991,mtthomesnw.com,mtthomesnw.com,Homebuilder,23,79974799,2007,Thomas,Tollen,Owner,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Pillar Properties,1938 Fairview Ave. E.,Seattle,Washington,98102,206-676-5300,pillarproperties.com,pillarproperties.com,"Owner, operator and developer of multifamily apartments",80,72980828,2010,Joe,Polito,President,,,,Business name: Owned by R.D. Merrill Co.,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Sprague Pest Solutions,2725 Pacific Ave.,Tacoma,Washington,98402,800-272-4988,spraguepest.com,spraguepest.com,Commercial-only pest control company,156,59100000,1926,Ross,Treleven,President and CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Greater Pacific Industries Inc.,5828 221st Place SE,Issaquah,Washington,98027,425-643-6576,greaterpacific.com,greaterpacific.com,Distributor of custom manufacturing services for promotional products,22,58100000,1995,Ben,Zhang,CEO and President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Colvos Construction,711 Court C,Tacoma,Washington,98402,253-844-4644,colvosconstruction.com,colvosconstruction.com,General contractor and construction manager,45,58000000,2017,Devin,Page,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
MediaMosaic Inc. dba The Mosaic Co.,707 S. Grady Way,Renton,Washington,98057,425-254-1724,themosaiccompany.com,themosaiccompany.com,Training and workforce consulting firm that focuses on the energy and utility and oil and gas industries.,39,56948208.49,1996,Rachel,Collier,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Fire & Vine Hospitality,1037 NE 65th St.,Seattle,Washington,98115,206-352-1450,firevine.com,firevine.com,Owner and operator of iconic Pacific Northwest restaurants,338,52500000,1996,Chad,Mackay,CEO,Cooper,Mills,President,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Realogics Sotheby's International Realty,15 Lake St.,Kirkland,Washington,98033,206-538-0930,rsir.com,rsir.com,Luxury real estate brokerage specializing in new developments,29,46141917,2010,Dean,Jones,President and CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Guardian Operations LLC dba Guardian Roofing,4020 Auburn Way N.,Auburn,Washington,98002,253-926-9966,guardianhome.com,guardianhome.com,Residential roofing contractor,180,42000000,2005,Mat,Rzucidlo,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Corliss Management Group,3106 Sumner Tapps Highway E.,Lake Tapps,Washington,98391,253-361-4926,corlissco.com,corlissco.com,Real Estate Firm,30,40663919,2009,Eric,Corliss,Managing Partner,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Opsahl Dawson,10940 NE 33rd Place,Bellevue,Washington,98004,425-890-4932,opsahldawson.com,opsahldawson.com,Accounting firm,92,40600000,2016,Ellen,Sas,Managing member,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Washington Shoe Co.,1101 SW 16th St.,Renton,Washington,98057,253-234-3000,washingtonshoe.com,washingtonshoe.com,Maker of rain boots and shoes,56,39500000,1891,Karl,Moehring,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Rodarte Construction Inc.,17 E. Valley Highway E.,Auburn,Washington,98092,253-939-0532,rodarteconstruction.com,rodarteconstruction.com,Heavy civil general contractor,78,39500000,1978,Frank,Rodarte,CEO,Jared,Rodarte,President,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
RJS Construction Inc.,1618 Rudkin Road,Yakima,Washington,98901,509-452-0857,rjsconst.com,rjsconst.com,Commercial and industrial general contractor,39,32000000,1990,Shannon,Sevigny,CEO and President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
JAS Design Build,3540 Wallingford Ave. N.,Seattle,Washington,98103,206-547-6242,jasdesignbuild.com,jasdesignbuild.com,Residential design build firm,114,32000000,1992,Joseph,Schneider,,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Gallagher Co.,3010 77th Ave. SE,Mercer Island,Washington,98040,206-232-1600,gallagherco.net,gallagherco.net,Custom builder of high-end homes and commercial projects,23,31395565.2,2005,Leanne,Gallagher,Co-owner,Tom,Gallagher,Co-owner,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Cascade Gasket and Manufacturing Co. Inc.,1820 W. Valley Hwy. N.,Auburn,Washington,98001,253-854-1800,cascadegasket.com,cascadegasket.com,Build-to-print gasket and seal manufacturing company,186,30768000,1946,Lee,Terry,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Pease Construction Inc.,3815 100th St. SW,Lakewood,Washington,98499,253-584-6606,peaseinc.com,peaseinc.com,"General contractor with expertise in military, commercial, industrial, renovation and design-build",30,30000000,1984,Loren,Pease,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
MacPherson Construction & Design LLC,22605 SE 56th St.,Issaquah,Washington,98029,425-391-3333,macphersonconstruction.com,macphersonconstruction.com,"Custom home builder, custom home designer",23,29000000,1983,Nancy,MacPherson,Owner,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Wesmar Co. Inc.,5720 204th St. SW,Lynnwood,Washington,98036,206-783-5344,wesmarcompany.com,wesmarcompany.com,Food sanitation and water treatment chemical manufacturer,77,27500000,1968,Kevin,Funston,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
The Burnsteads,11980 NE 24th St.,Bellevue,Washington,98005,425-454-1900,burnstead.com,burnstead.com,Builders and land developers building speculative and custom single family homes,24,22200000,1957,Leo,Suver,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
"Seattle Chocolate Company, dba Maeve Chocolate",1180 Andover Park W.,Tukwila,Washington,98188,425-264-2701,maevechocolate.com,maevechocolate.com,Manufacturer of chocolate confections,75,19500000,1991,Jean,Thompson,CEO and Owner,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Parcion Private Wealth,11980 NE 24th St.,Bellevue,Washington,98005,425-278-9555,parcionpw.com,parcionpw.com,Wealth management firm,30,17854313,2019,Terry,Cook,CEO and Managing Principal,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Sundancer Electric Inc.,1030 SW 34th St.,Renton,Washington,98057,253-398-2999,sundancerelectric.com,sundancerelectric.com,Electrical contractor,45,17269869,2012,Michael,Holmes,CFO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Shawn O'Donnell's,122 128th St.,Everett,Washington,98208,425-239-1745,shawnodonnells.com,shawnodonnells.com,Owner and operator of neighborhood Irish restaurants,169,16268616,1990,Shawn,O'Donnell Sr.,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Western Safety Products,505 S. Lander St.,Seattle,Washington,98134,206-264-0808,westernsafety.com,westernsafety.com,Distributor of safety supplies and equipment,12,15787570,1997,Neil,Radheshwar,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Molly Moon's Homemade Ice Cream,1122 E. Pike St.,Seattle,Washington,98122,206-419-7073,mollymoon.com,mollymoon.com,Ice cream shop,205,14779255,2008,,,,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Washington Alarm,2030 Airport Way S.,Seattle,Washington,98134,206-328-3288,washingtonalarm.com,washingtonalarm.com,Security system supplier,69,13000000,1943,Shannon,Woodman,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Copy Source,1122 N. State St.,Bellingham,Washington,98225,360-738-1280,copysource.com,copysource.com,"Commercial printing, mailing and finishing services",11,13000000,1990,Zeeshan,Israr,Vice President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Canlis,2576 Aurora Ave. N.,Seattle,Washington,98109,206-283-3313,canlis.com,canlis.com,Fine dining restaurant,118,12000000,1950,Mark,Canlis,Co-owner,Anne Marie,Canlis,Co-owner,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Innovative Sourcing inc.,409 Keys Road,Yakima,Washington,98901,509-452-4800,innovativesourcing.com,innovativesourcing.com,Packaging distributor and logistics company,16,12000000,2001,Fred,Brader,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Pot O' Gold Coffee Service,13205 SE 30th St.,Bellevue,Washington,98005,425-455-1020,potogoldcoffee.com,potogoldcoffee.com,Coffee and coffee related products and equipment company,38,11742644,1986,Blake,Jones,Owner and Vice President,Larry,Jones,"Owner, CEO and President",,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Fournier Insurance,5712 Orchard St. W.,University Place,Washington,98467,800-860-3010,fournierinsurance.com,fournierinsurance.com,Property and casualty insurance brokerage,46,10639504,1977,Ryan,Fournier,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Dynamic Language Center Ltd.,15215 52nd Ave. S.,Seattle,Washington,98188,206-493-1604,dynamiclanguage.com,dynamiclanguage.com,"Translation, interpretation and localization services for organizations worldwide",15,9537488.96,1972,Rick,Antezana,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
AXIS Architecture + Design,500 Union St.,Seattle,Washington,98101,206-367-1382,axisarchitecture.com,axisarchitecture.com,"Architectural design firm specializing in hospitality, multifamily, and affordable housing",12,9120000,2002,Andrew,Kluess,Principal Architect,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
AlphaPrint Inc. dba Alphagraphics Seattle,3131 Elliott Ave.,Seattle,Washington,98121,206-448-9100,alphagraphicsseattle.com,alphagraphicsseattle.com,Print and sign company,46,9072854,1989,Chuck,Stempler,President and CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Butler Seattle & Events,14306 NE 193rd Pl.,Woodinville,Washington,98072,206-233-9233,butlerseattle.com,butlerseattle.com,"Valet parking, transportation, tour and rental services company",120,9000000,1994,Stuart,Butler,Principal,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
QA Group,19615 Russell Road,Kent,Washington,98032,206-639-6700,qagroup.us,qagroup.us,Commercial furniture manufacturer and upholstery partner,45,9000000,2013,Skylar,Emtage,Marketing Director,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Caliber Security Partners,748 Market St.,Tacoma,Washington,98402,800-484-0492,calibersecurity.com,calibersecurity.com,"Cyber security services, penetration testing, application security, and actionable reporting and remediation assistance",20,8000000,2010,Tab,Pierce,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Trestle Community Management,2100 124th Ave. NE,Bellevue,Washington,98005,425-454-6404,trestlecm.com,trestlecm.com,Community management service provider to homeowner and condominium associations,42,7006000,2007,Bob,Brencic,Owner and President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Eckstrom Industries,2803 Hewitt Ave.,Everett,Washington,98201,425-258-4614,eckstromind.com,eckstromind.com,Sheet metal manufacturer,25,5000000,1930,Jerry,Cloud,CEO,Chris,Dennis,President,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
"Pilkey, Hopping & Ekberg Inc.",2102 N Pearl St.,Tacoma,Washington,98406,253-756-2000,pheinsurance.com,pheinsurance.com,Independent insurance agency,23,5000000,1896,Reid,Ekberg,President and Co-owner,Laci,Moyer,Vice President and Co-owner,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Smart Office Environments,4957 Lakemont Blvd. SE,Bellevue,Washington,98006,206-730-8871,smartofficeenvironments.com,smartofficeenvironments.com,"Commercial office furniture, space planning and design, installation and move services provider",5,3900000,2011,Casey,Kelly,Principal,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Magellan Architects,8383 158th Ave. NE,Redmond,Washington,98052,425-885-4300,magellanarchitects.com,magellanarchitects.com,Architectural and interior design firm,8,3800000,2000,Sherri,Miller,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
SisAdmin LLC,131 Cedar Ave.,Snohomish,Washington,98290,425-482-1919,sisadmin.com,sisadmin.com,IT-managed service provider,17,3666892,2000,Mary,Burris,CEO,Josh,Jurovcik,COO,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
American Classic Painters,11417 124th Ave. NE,Kirkland,Washington,98033,206-769-6430,americanclassicpainters.com,americanclassicpainters.com,Interior and exterior painting company,4,3200000,2017,Nicolae,Schirliu,Managing Partner,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Foundation Group,718 Rainier Ave. S.,Seattle,Washington,98144,206-324-9424,Foundationgroupre.com,Foundationgroupre.com,Commercial and retail real estate investor,10,2877815,2005,Alexis,Rubenstein,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Bolima Drafting & Design Inc.,1904 Third Ave.,Seattle,Washington,98101,206-332-9729,bolima.com,bolima.com,Design technology consultant,14,2700000,1987,Bill,Bolima,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
FMS Global Strategies LLC,7100 Fort Dent Way,Tukwila,Washington,98188,206-823-9344,fmsglobalstrategies.com,fmsglobalstrategies.com,,4,2600000,2020,Paula,Sardinas,,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Bancroft Buckley Johnston & Serres LLP dba BBJS,1501 Fourth Ave.,Seattle,Washington,98101,206-682-4840,bbjsllp.com,bbjsllp.com,Public accounting firm,12,2500000,1954,John,Johnston,Partner,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Wattenbarger Architects,40 Lake Bellevue Dr.,Bellevue,Washington,98005,425-453-0606,wattenbarger.com,wattenbarger.com,Architectural Design,14,2500000,1987,James,Brown,President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
"Kane Environmental, Inc.",4015 13th Ave. W.,Seattle,Washington,98119,206-691-0476,kane-environmental.com,kane-environmental.com,Environmental consulting firm,8,2100000,2000,Emmy,Kane,CEO and President,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Italy4Real,9915 Seventh Ave. SE,Everett,Washington,98208,425-355-3711,italy4real.com,italy4real.com,"Travel agency, tour operator",5,1800000,2000,Rem,Malloy,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Tinte LLC dba Tinte Cellars,19495 144th Ave. NE,Woodinville,Washington,98072,425-659-9463,tintecellars.com,tintecellars.com,"Wine tasting, sales and on-site events space",18,1200000,2018,Tim,Gamble,Co-Owner,Teresa,Spellman Gamble,Co-owner,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Kong Academy,2915 W. Garfield St.,Seattle,Washington,98199,206-227-7192,kongacademy.org,kongacademy.org,Play-based education organization teaching social and emotional skills,40,1082000,2016,Elke,Robshaw,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
The CPA Group PLLC,1910 120th Place SE,Everett,Washington,98208,425-316-6905,the-cpa-group.com,the-cpa-group.com,Local CPA firm focused on taxes and accounting for individuals and businesses,11,1000000,2008,Dana,Lashbaugh,Managing Member,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
